serial_number,model,duration,event_observed,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_194_raw,smart_197_raw,smart_198_raw
ZL202WJC,ST16000NM001G,90,0,0.0,54466.0,0.0,55835558050.0,36.0,0.0,0.0
ZL202X54,ST16000NM001G,90,0,0.0,54475.0,0.0,0.0,38.0,0.0,0.0
ZL202X7J,ST16000NM001G,90,0,8.0,55145.0,0.0,4295032833.0,31.0,0.0,0.0
ZL202YQ0,ST16000NM001G,90,0,0.0,56785.0,0.0,0.0,44.0,0.0,0.0
ZL202YS3,ST16000NM001G,90,0,0.0,56781.0,0.0,0.0,32.0,0.0,0.0
ZL202YSB,ST16000NM001G,90,0,0.0,54485.0,0.0,0.0,37.0,0.0,0.0
ZL202YVD,ST16000NM001G,90,0,0.0,42171.0,0.0,0.0,30.0,0.0,0.0
ZL202Z0K,ST16000NM001G,90,0,0.0,54490.0,0.0,0.0,39.0,0.0,0.0
ZL202Z43,ST16000NM001G,90,0,0.0,55140.0,0.0,0.0,32.0,0.0,0.0
ZL202Z5Z,ST16000NM001G,90,0,0.0,56781.0,0.0,0.0,38.0,0.0,0.0
ZL202Z77,ST16000NM001G,90,0,0.0,54482.0,0.0,0.0,36.0,0.0,0.0
ZL202Z7D,ST16000NM001G,90,0,8.0,56778.0,2.0,0.0,29.0,0.0,0.0
ZL202Z8B,ST16000NM001G,90,0,0.0,42167.0,0.0,0.0,27.0,0.0,0.0
ZL202Z8K,ST16000NM001G,90,0,0.0,54486.0,0.0,0.0,36.0,0.0,0.0
ZL206P3J,ST16000NM001G,90,0,0.0,42085.0,0.0,0.0,30.0,0.0,0.0
ZL206Z3P,ST16000NM001G,90,0,16.0,42796.0,0.0,0.0,31.0,0.0,0.0
ZL208SN9,ST16000NM001G,90,0,0.0,42813.0,0.0,0.0,33.0,0.0,0.0
ZL208W73,ST16000NM001G,90,0,0.0,44322.0,0.0,0.0,38.0,0.0,0.0
ZL209F1Y,ST16000NM001G,90,0,0.0,42089.0,0.0,0.0,39.0,0.0,0.0
ZL20A25G,ST16000NM001G,90,0,0.0,42763.0,0.0,0.0,42.0,0.0,0.0
ZL20C88K,ST16000NM001G,52,0,0.0,1221.0,0.0,0.0,38.0,0.0,0.0
ZL20CY5H,ST16000NM001G,6,1,0.0,128.0,58.0,131074.0,28.0,784.0,784.0
ZL20DJ7H,ST16000NM001G,90,0,0.0,39886.0,0.0,0.0,36.0,0.0,0.0
ZL20DN5F,ST16000NM001G,90,0,0.0,42091.0,0.0,0.0,32.0,0.0,0.0
ZL20FR9V,ST16000NM001G,90,0,0.0,4685.0,0.0,0.0,28.0,0.0,0.0
ZL20GMGC,ST16000NM001G,90,0,0.0,16527.0,0.0,0.0,38.0,0.0,0.0
ZL20H126,ST16000NM001G,90,0,0.0,22959.0,0.0,0.0,33.0,0.0,0.0
ZL20H60M,ST16000NM001G,90,0,0.0,39884.0,0.0,0.0,32.0,0.0,0.0
ZL20HNYP,ST16000NM001G,90,0,0.0,12042.0,0.0,0.0,42.0,0.0,0.0
ZL20JN0H,ST16000NM001G,44,0,0.0,1024.0,0.0,0.0,42.0,0.0,0.0
ZL20JYEX,ST16000NM001G,90,0,0.0,4867.0,0.0,0.0,29.0,0.0,0.0
ZL20L7A4,ST16000NM001G,90,0,0.0,9068.0,0.0,0.0,35.0,0.0,0.0
ZL20LF1Z,ST16000NM001G,90,0,0.0,9272.0,0.0,0.0,35.0,0.0,0.0
ZL20M67R,ST16000NM001G,90,0,0.0,4684.0,0.0,0.0,34.0,0.0,0.0
ZL20MAWS,ST16000NM001G,90,0,528.0,4830.0,190.0,12885491721.0,41.0,3496.0,3496.0
ZL20NN91,ST16000NM001G,90,0,0.0,42779.0,0.0,0.0,26.0,0.0,0.0
ZL20NT85,ST16000NM001G,6,0,0.0,110.0,0.0,0.0,29.0,0.0,0.0
ZL20P3LE,ST16000NM001G,90,0,0.0,45357.0,0.0,0.0,21.0,0.0,0.0
